report_index,category,is_synthetic,synthetic_id,file_name,size,md5,sha1,sha256,app_name,package_name,main_activity,target_sdk,min_sdk,max_sdk,android_version_name,android_version_code,security_score,risk_level,grade,trackers_detection,findings_high,findings_medium,findings_info,findings_secure,findings_hotspot,activities,services,receivers,providers,exported_activities,exported_services,exported_receivers,exported_providers,binary_signed,v1_signature,v2_signature,v3_signature,v4_signature,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,cert_analysis_high,cert_analysis_warning,cert_analysis_info,manifest_high,manifest_warning,manifest_info,manifest_suppressed,permissions_total,permissions_dangerous,dangerous_permissions_list,all_permissions_list,malware_permission_matches,other_common_permission_matches,has_anti_vm_code,has_anti_debug_code,has_anti_root_code,has_obfuscator,has_dexmerge_manipulation,signed_with_debug_cert,janus_vulnerable
1,banking_apk_scams,True,SYN-000001,cbef6d5dc76bd18e3209cd89dc4977be125a3bbf53d246c019b6812bf3a3e395.apk,17.15MB,c617a6ea851c682a3961502638f6bea4,474e1da03fdc2c9ccee8813f89749746cdd57224,cbef6d5dc76bd18e3209cd89dc4977be125a3bbf53d246c019b6812bf3a3e395,,app.digital.qjjfgyq,app.digital.qjjfgyq.MainActivity,26,26,,2.0.84,3226068,40,MEDIUM RISK,B,,1,4,1,3,2,17,0,6,8,13,0,3,4,True,True,True,False,False,"C=US, O=digital, CN=Release Key","C=US, O=digital, CN=Release Key",2020-03-18 00:00:00+00:00,2039-03-15 00:00:00+00:00,0,1,0,0,5,0,0,12,5,android.permission.BIND_DEVICE_ADMIN;android.permission.DISABLE_KEYGUARD;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_SMS;android.permission.SEND_SMS,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;android.permission.ACCESS_NETWORK_STATE;android.permission.ACCESS_WIFI_STATE;android.permission.BIND_DEVICE_ADMIN;android.permission.DISABLE_KEYGUARD;android.permission.POST_NOTIFICATIONS;android.permission.QUERY_ALL_PACKAGES;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_MEDIA_VIDEO;android.permission.READ_SMS;android.permission.SEND_SMS;android.permission.WAKE_LOCK,5/25,7/44,True,False,True,False,False,False,False
2,banking_apk_scams,True,SYN-000002,cc55aacc25aaac4aa554ce7104ec97b50c5f0a8d4e8dd618bdf1f33e696e0d41.apk,11.93MB,7c851ba89c13cda7325039ab6303fd3c,112d2c71c04ca59d313390e168f78e9d06cad46a,cc55aacc25aaac4aa554ce7104ec97b50c5f0a8d4e8dd618bdf1f33e696e0d41,SmartSave,org.studio.nfjeyxxpm,org.studio.nfjeyxxpm.MainActivity,32,16,,2.4.55,5707198,37,HIGH RISK,D,,0,1,1,3,0,9,4,7,8,8,2,6,6,True,True,True,False,False,"C=US, O=Android, CN=SmartSave","C=US, O=Android, CN=SmartSave",2015-05-08 00:00:00+00:00,2027-04-19 00:00:00+00:00,1,2,0,4,0,0,0,16,11,android.permission.CALL_PHONE;android.permission.DISABLE_KEYGUARD;android.permission.READ_CONTACTS;android.permission.READ_SMS;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_CALL_LOG;android.permission.WRITE_CONTACTS;android.permission.WRITE_SETTINGS,android.permission.CALL_PHONE;android.permission.DISABLE_KEYGUARD;android.permission.GET_TASKS;android.permission.READ_CONTACTS;android.permission.READ_SMS;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS;android.permission.SET_WALLPAPER;android.permission.SYSTEM_ALERT_WINDOW;android.permission.USE_CREDENTIALS;android.permission.USE_EXACT_ALARM;android.permission.WRITE_CALL_LOG;android.permission.WRITE_CONTACTS;android.permission.WRITE_SETTINGS;android.permission.WRITE_SYNC_SETTINGS,11/25,5/44,True,False,False,True,False,False,True
3,banking_apk_scams,True,SYN-000003,27599534eb1a1011e1563cfcace3f5e2189bb9c501e559df1e0010421118176a.apk,14.35MB,ebb73815e3435de5249d34e7e7180b5c,d19ca452963c549afc251b8cdb7f7ea4294cb0d8,27599534eb1a1011e1563cfcace3f5e2189bb9c501e559df1e0010421118176a,QuickTransfer,info.mobile.kiwg,info.mobile.kiwg.MainActivity,33,26,,4.7.52,7930104,62,LOW RISK,A,,0,4,2,3,3,6,8,13,3,4,3,11,2,True,True,True,True,False,"C=US, O=Unknown, CN=Android Debug","C=US, O=Unknown, CN=Android Debug",2018-08-05 00:00:00+00:00,2051-03-09 00:00:00+00:00,1,2,0,0,5,0,0,6,5,android.permission.ACCESS_FINE_LOCATION;android.permission.BIND_DEVICE_ADMIN;android.permission.READ_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_FINE_LOCATION;android.permission.BIND_DEVICE_ADMIN;android.permission.READ_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,5/25,1/44,False,False,False,False,False,True,False
4,banking_apk_scams,True,SYN-000004,3b529326cd2be28589746d8c7081315fd787d497968152943070f48753af88da.apk,18.53MB,3b7a02219e1dfa9583e8d3acc5669994,c370ababf65313bd9a8c2ff0ef9178f68edec2bd,3b529326cd2be28589746d8c7081315fd787d497968152943070f48753af88da,RapidCredit Plus,info.team.gkrhit,info.team.gkrhit.MainActivity,34,10,,7.1.72,3946067,42,MEDIUM RISK,B,0/450,0,0,3,1,1,6,12,0,6,2,12,0,2,True,True,True,False,False,"C=US, O=Android, CN=RapidCredit Plus","C=US, O=Android, CN=RapidCredit Plus",2010-08-20 00:00:00+00:00,2030-02-18 00:00:00+00:00,0,2,2,2,4,0,0,14,6,android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.READ_SMS;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS,android.permission.CHANGE_CONFIGURATION;android.permission.CHANGE_WIFI_STATE;android.permission.MANAGE_ACCOUNTS;android.permission.QUERY_ALL_PACKAGES;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.READ_SMS;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SCHEDULE_EXACT_ALARM;android.permission.SEND_SMS;android.permission.SET_WALLPAPER;android.permission.USE_BIOMETRIC;android.permission.USE_EXACT_ALARM,6/25,8/44,False,True,False,True,False,False,False
5,banking_apk_scams,True,SYN-000005,6d20472b72705c26c59fe3d64139b7e8bddcd4c87d14d925eac3637588119088.apk,67.43MB,5cefaf4972c3845f79088bdc9e4c5b49,f40a2af0eab947e56df0989a5081f98587bbf01d,6d20472b72705c26c59fe3d64139b7e8bddcd4c87d14d925eac3637588119088,UnitedBanking Pro,net.studio.zvwat,net.studio.zvwat.MainActivity,28,12,,5.5.5,701772,28,HIGH RISK,D,,2,12,0,0,3,9,9,6,5,3,4,4,3,True,False,True,False,False,"C=US, O=MyCompany, CN=Android Debug","C=US, O=MyCompany, CN=Android Debug",2022-07-26 00:00:00+00:00,2039-05-06 00:00:00+00:00,2,0,2,2,5,0,0,19,14,android.permission.ACCESS_COARSE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.CAMERA;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CALL_LOG;android.permission.READ_CONTACTS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS;android.permission.WRITE_CALL_LOG;android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_COARSE_LOCATION;android.permission.BIND_ACCESSIBILITY_SERVICE;android.permission.CAMERA;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CALL_LOG;android.permission.READ_CONTACTS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RECEIVE_SMS;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS;android.permission.USE_CREDENTIALS;android.permission.USE_FINGERPRINT;android.permission.VIBRATE;android.permission.WRITE_CALL_LOG;android.permission.WRITE_EXTERNAL_STORAGE,14/25,5/44,False,True,True,False,False,True,False
6,banking_apk_scams,True,SYN-000006,6f86b45798dd2fd20e15fb4a0dd0a1016b9939d7ee58e13a5348d6eced5bca10.apk,23.6MB,593611872c499059b8b62ec0d5569ade,5f6297d7570f538c2459bfbc4050135974eddb60,6f86b45798dd2fd20e15fb4a0dd0a1016b9939d7ee58e13a5348d6eced5bca10,RapidCash Mobile,xyz.apps.kyrxq,xyz.apps.kyrxq.MainActivity,21,13,,2.5.79,7235970,43,MEDIUM RISK,B,,0,7,2,0,0,12,16,12,8,5,0,1,4,True,False,True,True,False,"C=US, O=MyCompany, CN=RapidCash Mobile","C=US, O=MyCompany, CN=RapidCash Mobile",2016-09-27 00:00:00+00:00,2024-05-10 00:00:00+00:00,2,1,2,3,6,1,0,14,4,android.permission.CAMERA;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CONTACTS;android.permission.SYSTEM_ALERT_WINDOW,android.permission.ACCESS_NETWORK_STATE;android.permission.BLUETOOTH_ADMIN;android.permission.BROADCAST_STICKY;android.permission.CAMERA;android.permission.CHANGE_NETWORK_STATE;android.permission.EXPAND_STATUS_BAR;android.permission.FOREGROUND_SERVICE;android.permission.POST_NOTIFICATIONS;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CONTACTS;android.permission.READ_MEDIA_IMAGES;android.permission.READ_PHONE_NUMBERS;android.permission.SET_WALLPAPER;android.permission.SYSTEM_ALERT_WINDOW,4/25,10/44,False,False,False,False,False,False,True
7,banking_apk_scams,True,SYN-000007,433c4fb66a5191498662c27ab2058d8e07e31cbfd7d27a9790446ebe41aa6fdd.apk,50.09MB,b0c6e2b2ed12268e855e95ced93c2343,0c09238af79d191eec95286684e0adb58b128d2c,433c4fb66a5191498662c27ab2058d8e07e31cbfd7d27a9790446ebe41aa6fdd,MetroBanking Hub,app.studio.lewltvhu,app.studio.lewltvhu.MainActivity,22,22,,8.2.59,2036060,38,HIGH RISK,C,8/450,4,6,0,3,3,22,9,7,3,4,0,0,1,True,False,False,True,False,"C=US, O=AppDev, CN=MetroBanking Hub","C=US, O=AppDev, CN=MetroBanking Hub",2020-04-09 00:00:00+00:00,2052-02-23 00:00:00+00:00,3,0,0,2,6,1,0,13,5,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.DISABLE_KEYGUARD;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.SYSTEM_ALERT_WINDOW,android.permission.ACCESS_COARSE_LOCATION;android.permission.ACCESS_FINE_LOCATION;android.permission.BLUETOOTH;android.permission.BROADCAST_STICKY;android.permission.DISABLE_KEYGUARD;android.permission.EXPAND_STATUS_BAR;android.permission.MANAGE_EXTERNAL_STORAGE;android.permission.PERSISTENT_ACTIVITY;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.SYSTEM_ALERT_WINDOW;android.permission.USE_BIOMETRIC;android.permission.WAKE_LOCK;com.google.android.gms.permission.AD_ID,5/25,8/44,True,True,False,False,True,False,True
8,banking_apk_scams,True,SYN-000008,5344a07ff7e25631ff36cad7d4363959c243da14bc9964ea60298178d016956b.apk,32.19MB,43bb673144315e13ffafc01e546e5e43,aa06ec38df07c52772288e410fc7be70e416ea27,5344a07ff7e25631ff36cad7d4363959c243da14bc9964ea60298178d016956b,InstantMoney Online,org.dev.hykvmtb,org.dev.hykvmtb.MainActivity,27,26,,1.1.82,9468927,28,HIGH RISK,C,7/350,4,4,2,2,3,14,1,6,6,6,0,6,6,True,True,False,False,False,"C=US, O=MyCompany, CN=Android Debug","C=US, O=MyCompany, CN=Android Debug",2013-11-03 00:00:00+00:00,2026-01-08 00:00:00+00:00,1,1,0,1,6,2,0,12,6,android.permission.CALL_PHONE;android.permission.DISABLE_KEYGUARD;android.permission.READ_CONTACTS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS,android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.BROADCAST_STICKY;android.permission.CALL_PHONE;android.permission.CHANGE_CONFIGURATION;android.permission.CHANGE_NETWORK_STATE;android.permission.DISABLE_KEYGUARD;android.permission.EXPAND_STATUS_BAR;android.permission.READ_CONTACTS;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_SETTINGS;android.permission.WRITE_SMS;android.permission.WRITE_SYNC_SETTINGS,6/25,6/44,False,False,False,False,False,True,False
9,banking_apk_scams,True,SYN-000009,fbd78fad0319cb27cac7d03331fd257c54a9a6ac6a43f9fbbf89659006c6483a.apk,45.81MB,62aa62e4ef8ace8073e814f452bd3d65,17022b0a88366bfef0f01830cf2b4585d22a21ca,fbd78fad0319cb27cac7d03331fd257c54a9a6ac6a43f9fbbf89659006c6483a,,net.group.jghpw,net.group.jghpw.MainActivity,17,12,,4.7.72,7563203,20,HIGH RISK,D,6/400,4,8,0,3,3,4,9,3,0,2,8,3,0,True,True,False,False,False,"C=US, O=group, CN=Release Key","C=US, O=group, CN=Release Key",2010-09-07 00:00:00+00:00,2029-04-24 00:00:00+00:00,1,1,0,4,7,2,0,20,9,android.permission.CAMERA;android.permission.DISABLE_KEYGUARD;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_SMS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.SYSTEM_ALERT_WINDOW;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS,android.permission.ACCESS_NETWORK_STATE;android.permission.BLUETOOTH_ADMIN;android.permission.CAMERA;android.permission.CHANGE_NETWORK_STATE;android.permission.DISABLE_KEYGUARD;android.permission.FOREGROUND_SERVICE;android.permission.PERSISTENT_ACTIVITY;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_MEDIA_IMAGES;android.permission.READ_MEDIA_VIDEO;android.permission.READ_SMS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.RESTART_PACKAGES;android.permission.SET_WALLPAPER;android.permission.SYSTEM_ALERT_WINDOW;android.permission.USE_BIOMETRIC;android.permission.VIBRATE;android.permission.WRITE_CONTACTS;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.WRITE_SETTINGS,9/25,11/44,True,False,False,False,False,False,False
10,banking_apk_scams,True,SYN-000010,bead66bf3b20336a2cac4a75f86bc6a0beffd1ddbfd76efec494e1891b6dc67d.apk,33.08MB,e0217c67f4fd3345e9eb1cdef951a28b,22f2b7cb83a3518bc8d437d9d11b5c2d6e44b037,bead66bf3b20336a2cac4a75f86bc6a0beffd1ddbfd76efec494e1891b6dc67d,,com.studio.kbqb,com.studio.kbqb.MainActivity,30,11,,5.7.61,205780,37,HIGH RISK,D,2/300,1,6,1,1,1,9,9,8,3,1,3,5,0,True,True,False,True,False,"C=US, O=Unknown, CN=Android Debug","C=US, O=Unknown, CN=Android Debug",2022-10-10 00:00:00+00:00,2029-04-04 00:00:00+00:00,2,0,0,0,7,1,0,19,13,android.permission.ACCESS_FINE_LOCATION;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.INSTALL_PACKAGES;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CALL_LOG;android.permission.READ_CONTACTS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECORD_AUDIO;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS;android.permission.WRITE_CONTACTS,android.permission.ACCESS_ADSERVICES_AD_ID;android.permission.ACCESS_FINE_LOCATION;android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;android.permission.CALL_PHONE;android.permission.CAMERA;android.permission.EXPAND_STATUS_BAR;android.permission.INSTALL_PACKAGES;android.permission.KILL_BACKGROUND_PROCESSES;android.permission.PERSISTENT_ACTIVITY;android.permission.PROCESS_OUTGOING_CALLS;android.permission.READ_CALL_LOG;android.permission.READ_CONTACTS;android.permission.READ_EXTERNAL_STORAGE;android.permission.READ_PHONE_STATE;android.permission.RECORD_AUDIO;android.permission.REQUEST_INSTALL_PACKAGES;android.permission.SEND_SMS;android.permission.WRITE_CONTACTS;android.permission.WRITE_SYNC_SETTINGS,13/25,6/44,True,True,True,False,False,True,True
