sample_id,category,ACCESS_PERSONAL_INFO___,ALTER_PHONE_STATE___,ANTI_DEBUG_____,CREATE_FOLDER_____,CREATE_PROCESS`_____,CREATE_THREAD_____,DEVICE_ACCESS_____,EXECUTE_____,FS_ACCESS____,FS_ACCESS()____,FS_ACCESS(CREATE)____,FS_ACCESS(CREATE__APPEND)__,FS_ACCESS(CREATE__READ)__,FS_ACCESS(CREATE__READ__WRITE),FS_ACCESS(CREATE__WRITE)__,FS_ACCESS(CREATE__WRITE__APPEND),FS_ACCESS(READ)____,FS_ACCESS(READ__WRITE)__,FS_ACCESS(WRITE)____,FS_PIPE_ACCESS___,FS_PIPE_ACCESS()___,FS_PIPE_ACCESS(READ)___,FS_PIPE_ACCESS(READ__)_,FS_PIPE_ACCESS(READ__WRITE)_,FS_PIPE_ACCESS(WRITE)___,NETWORK_ACCESS____,NETWORK_ACCESS()____,NETWORK_ACCESS(READ)____,NETWORK_ACCESS(READ__WRITE)__,NETWORK_ACCESS(READ__WRITE__),NETWORK_ACCESS(WRITE)____,NETWORK_ACCESS(WRITE__)__,SMS_SEND____,TERMINATE_PROCESS,TERMINATE_THREAD,__arm_nr_cacheflush,__arm_nr_set_tls,_llseek,_newselect,accept,access,add,addAccessibilityInteractionConnection,addAccountExplicitly,addClient,addPeriodicSync,addStatusChangeListener,addToDisplay,addToDisplayWithoutInputChannel,addWithoutInputChannel,attachEngine,beginRestoreSession,bind,brk,cancelAllNotifications,cancelNotificationWithTag,cancelSync,cancelToast,cancelVibrate,capset,chdir,checkOperation,checkPackage,checkPermission,checkSignatures,chmod,chown32,clock_getres,clock_gettime,clone,close,collapsePanels,connect,currentToCanonicalPackageNames,dataChanged,deleteHost,disconnect,displayCompletions,dup,dup2,endRestoreSession,engineShown,enqueueNotificationWithTag,enqueueToast,epoll_create,epoll_ctl,epoll_wait,eventfd2,execve,exit,exit_group,faccessat,fchmod,fchown32,fcntl,fcntl64,fdatasync,finishDrawing,finishInput,finishSpellCheckerService,flock,fork,fstat64,fstatfs64,fsync,ftruncate,ftruncate64,futex,geocoderIsPresent,getAccounts,getAccountsAsUser,getActiveAdmins,getActiveNetworkInfo,getActivePhoneType,getActivityInfo,getAllCellInfo,getAllNetworkInfo,getAllPkgUsageStats,getAllProviders,getAnimationScale,getAppWidgetIds,getAppWidgetInfo,getApplicationEnabledSetting,getApplicationInfo,getApplicationRestrictions,getAuthenticatorTypes,getBestProvider,getBoolean,getCallState,getCameraDisabled,getCameraInfo,getCellLocation,getClientDefaultLanguage,getComponentEnabledSetting,getConfiguredNetworks,getConnectionInfo,getCurrentInputMethodSubtype,getCurrentModeType,getCurrentSpellChecker,getCurrentSpellCheckerSubtype,getDataActivity,getDataNetworkType,getDataState,getDeviceId,getDeviceList,getDeviceOwner,getDeviceSvn,getDhcpInfo,getDisplayFrame,getDisplayIds,getDisplayInfo,getEnabledAccessibilityServiceList,getEnabledInputMethodList,getEnabledInputMethodSubtypeList,getFlashlightEnabled,getFromLocation,getGlobalSearchActivity,getGroupIdLevel1,getHeightHint,getIccSerialNumber,getInTouchMode,getInputDevice,getInputDeviceIds,getInputMethodList,getInstallLocation,getInstalledApplications,getInstalledPackages,getInstalledProviders,getInstallerPackageName,getIsSyncable,getLastChosenActivity,getLastInputMethodSubtype,getLastLocation,getLine1Number,getLong,getMasterSyncAutomatically,getMessenger,getMobileDataEnabled,getMobileIfaces,getMode,getNameForUid,getNeighboringCellInfo,getNetworkInfo,getNetworkPreference,getNightMode,getNumberOfCameras,getPackageGids,getPackageInfo,getPackageSizeInfo,getPackagesForUid,getPassword,getPermissionGroupInfo,getPermissionInfo,getPreferredActivities,getPreferredPackages,getPrimaryClip,getProviderInfo,getProviderProperties,getProviders,getProxy,getReceiverInfo,getRingerMode,getRingtonePlayer,getScanResults,getSearchableInfo,getSearchablesInGlobalSearch,getServiceInfo,getSpellCheckerService,getState,getStorageEncryptionStatus,getStreamMaxVolume,getStreamVolume,getString,getSubscriberId,getSyncAutomatically,getSystemAvailableFeatures,getSystemSharedLibraryNames,getTetheredIfaces,getUserData,getUserIcon,getUserRestrictions,getUserSerialNumber,getUsers,getVibrateSetting,getVoiceMailAlphaTag,getVoiceMailNumber,getWallpaper,getWallpaperInfo,getWidthHint,getWifiApConfiguration,getWifiApEnabledState,getWifiDisplayStatus,getWifiEnabledState,getWifiServiceMessenger,getcwd,getdents64,getegid32,geteuid32,getgid32,getgroups32,getpeername,getpgid,getpid,getppid,getpriority,getresgid32,getresuid32,getrusage,getsockname,getsockopt,gettid,gettimeofday,getuid32,hasClipboardText,hasIccCard,hasKeys,hasNamedWallpaper,hasNavigationBar,hasPrimaryClip,hasSystemFeature,hasVibrator,hideSoftInput,inKeyguardRestrictedInputMode,inotify_add_watch,inotify_init,inotify_rm_watch,ioctl,isActiveNetworkMetered,isAdminActive,isBluetoothA2dpOn,isBluetoothScoOn,isCameraSoundForced,isImsSmsSupported,isKeyguardLocked,isKeyguardSecure,isPackageAvailable,isProviderEnabled,isSafeMode,isScanAlwaysAvailable,isScreenOn,isSpeakerphoneOn,isSpellCheckerEnabled,isSyncActive,isWakeLockLevelSupported,lgetxattr,link,listen,locationCallbackFinished,lseek,lstat64,madvise,mkdir,mknod,mlock,mmap2,mount,mprotect,mremap,msync,munlock,munmap,nanosleep,notifyAppWidgetViewDataChanged,notifyChange,onChange,onClose,onFinished,onGetSentenceSuggestionsMultiple,onRectangleOnScreenRequested,onRequestContinued,onResult,open,openSession,partiallyUpdateAppWidgetIds,performDeferredDestroy,pingSupplicant,pipe,pipe2,play,playSoundEffect,playSoundEffectVolume,poll,prctl,pread64,prepareVpn,ptrace,pwrite64,queryContentProviders,queryIntentActivities,queryIntentContentProviders,queryIntentReceivers,queryIntentServices,read,readlink,reassociate,recvfrom,recvmsg,reenableKeyguard,registerCallback,registerContentObserver,registerInputDevicesChangedListener,registerMediaButtonIntent,registerRemoteControlClient,registerSuggestionSpansForNotification,relayout,releaseMulticastLock,releaseWakeLock,releaseWifiLock,remove,removeAccessibilityInteractionConnection,removeActiveAdmin,removeGpsStatusListener,removePrimaryClipChangedListener,removeStatusChangeListener,rename,requestLocationUpdates,requestScanFile,resolveContentProvider,resolveIntent,resolveService,restorePackage,rmdir,rt_sigprocmask,rt_sigtimedwait,sched_get_priority_max,sched_get_priority_min,sched_getparam,sched_getscheduler,sched_setaffinity,sched_setscheduler,sched_yield,send,sendAccessibilityEvent,sendExtraCommand,sendMultipartText,sendText,sendmsg,sendto,set,setApplicationEnabledSetting,setCallback,setComponentEnabledSetting,setDimensionHints,setDiscoveryRequest,setExtractedText,setFlashlightEnabled,setIconVisibility,setInTouchMode,setIsSyncable,setMetadata,setMobileDataEnabled,setMode,setNetworkPreference,setNightMode,setPlaybackState,setPlaybackStateForRcc,setPrimaryClip,setRadio,setRingerMode,setSpeakerphoneOn,setStreamMute,setStreamVolume,setSyncAutomatically,setTextAfterCursor,setTextBeforeCursor,setTransparentRegion,setTransportControlInfo,setWallpaper,setWallpaperPosition,setWifiApConfiguration,setWifiApEnabled,setWifiEnabled,setgid32,setgroups32,setitimer,setpgid,setpriority,setresgid32,setresuid32,setrlimit,setsid,setsockopt,setuid32,showSoftInput,showStrictModeViolation,shutdown,sigaction,sigaltstack,sigprocmask,sigsuspend,socket,socketpair,startBluetoothSco,startInput,startScan,startWatchingRoutes,startWifiDisplayScan,stat64,statfs64,statusBarVisibilityChanged,stop,stopListening,stopUsingNetworkFeature,symlink,sync,sysinfo,timer_create,timer_settime,toggleSoftInput,truncate,ugetrlimit,umask,uname,unlink,unregisterContentObserver,unregisterMediaButtonIntent,unregisterRemoteControlClient,updateAppWidgetIds,updateAppWidgetProvider,updateSelection,updateServiceLocation,utimes,vfork,vibrate,vibratePattern,wait4,watchRotation,windowGainedFocus,write,writev,is_augmented,source,Class
benign_apk_scams_000001,benign_apk_scams,1,0,0,19,1,105,88,4,242,65,58,1,1,9,90,0,97,0,7,12,0,1,1,9,2,15,21,0,20,0,1,0,0,0,55,0,106,240,288,0,569,0,0,0,1,0,0,15,0,0,0,0,10,393,0,3,0,0,0,1,0,0,2,15,0,84,0,0,14308,105,863,0,19,0,0,0,0,3,65,3,0,0,1,1,11,41,1279,0,4,55,0,0,4,153,0,1474,260,24,0,0,2,1,1092,0,71,0,7,4962,0,1,0,0,21,0,12,0,7,0,0,1,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,10,10,10,0,0,0,1216,0,339,0,0,0,18,100,354,1300,1287,0,0,0,0,1,0,3,1,0,0,0,0,0,2354,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,1,0,0,1,0,93,96,659,25,0,0,949,0,1336,0,0,0,744,146,0,0,0,0,0,0,7,0,0,593,1,0,0,0,25,0,0,0,0,8,229,671,0,0,620,0,0,0,0,13,1232,0,0,716,3,0,1,1,0,0,0,0,31,0,2,0,17,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,123,1,1,1,0,109,0,1,0,0,9,161,1178,0,48,9,0,0,0,0,0,542,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,73,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1383,255,False,real_CICMalDroid_2020,5
benign_apk_scams_000002,benign_apk_scams,3,0,0,23,0,101,72,0,211,40,52,0,0,4,68,0,182,0,82,12,0,0,0,10,2,19,38,0,22,0,4,6,0,0,42,4,101,119,37,1,488,0,0,0,1,0,0,4,0,0,0,0,19,375,0,0,0,0,0,1,0,0,2,0,0,64,0,0,4832,101,734,0,30,0,0,0,0,0,24,0,0,0,0,0,15,26,674,0,0,42,0,0,3,133,0,1242,180,4,0,0,2,0,1118,0,46,0,2,3977,0,1,0,0,48,2,8,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,88,12,12,12,0,0,0,1153,0,188,0,0,0,37,129,364,1903,480,0,0,1,0,1,0,10,0,0,0,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,2,0,38,75,489,27,0,0,590,0,1300,0,0,0,379,137,0,0,0,0,0,0,4,0,0,671,1,0,0,0,24,0,0,0,0,16,200,399,0,0,377,0,144,0,0,6,920,1,0,228,4,0,1,2,1,1,1,0,6,0,0,0,5,0,0,0,0,0,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,142,1,1,1,0,152,0,0,0,1,1,143,432,0,78,11,0,0,0,0,0,448,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2076,230,False,real_CICMalDroid_2020,5
benign_apk_scams_000003,benign_apk_scams,10,0,0,21,0,71,81,0,233,60,48,0,1,6,104,1,195,0,7,9,0,0,0,7,7,16,36,0,25,0,1,0,0,0,28,0,71,412,43,0,523,0,0,0,1,0,0,8,1,0,0,0,13,3186,0,0,0,0,0,1,0,0,2,3,0,66,0,0,10023,71,767,0,24,0,0,0,0,0,41,0,0,0,0,0,10,27,3079,0,0,28,0,0,3,130,0,1221,205,18,0,0,2,0,1258,0,55,0,8,3620,0,0,1,0,28,2,9,0,0,0,2,1,0,0,0,18,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,126,10,10,10,0,0,0,2151,0,193,0,0,0,24,124,257,1975,2199,0,0,0,0,1,0,3,0,0,0,0,0,0,1850,1,0,0,0,0,0,0,0,0,4,0,0,8,1,6,0,0,0,0,1,2,2708,100,487,38,0,0,777,0,2240,0,0,0,603,108,0,0,0,0,0,0,7,0,0,676,1,0,3,0,23,0,0,0,0,10,207,574,0,0,477,0,0,0,0,3,5782,0,0,561,3,0,1,1,0,0,0,0,22,0,2,0,7,0,0,0,0,0,53,3,0,4,1,0,0,2,0,0,0,0,0,0,0,0,15,1,0,0,0,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,78,1,1,1,0,95,0,0,0,0,8,99,837,0,69,9,0,0,0,0,0,484,10,0,1,0,0,0,0,0,0,0,0,0,1,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1276,445,False,real_CICMalDroid_2020,5
benign_apk_scams_000004,benign_apk_scams,2,0,0,21,0,104,147,0,342,130,112,0,1,11,159,1,522,0,7,7,0,0,0,18,6,20,69,0,62,0,14,1,0,0,50,9620,104,235,37,0,841,0,0,0,1,0,0,9,0,0,0,0,26,1902,0,0,0,0,0,1,0,0,2,1,0,145,0,0,93273,104,1583,0,73,0,0,0,0,0,98,0,0,0,0,1,19,177,17153,0,0,50,0,0,5,233,0,2552,385,16,0,0,2,0,2330,0,129,196,6,9000,0,0,1,0,44,0,13,0,0,0,0,1,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,12,12,12,0,0,0,8499,0,262,0,0,0,63,241,1138,3461,8089,0,0,0,0,1,0,6,0,0,0,0,0,0,5829,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4,0,0,0,0,1,0,135,210,863,22,0,0,957,0,1545,0,0,0,731,385,0,0,0,0,0,0,11,0,0,1302,1,0,0,0,31,0,0,0,0,25,294,648,0,0,1097,0,0,0,0,3,6336,1,0,6779,33,0,1,1,0,0,0,0,19,0,1,0,9,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,33,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,168,1,1,1,0,287,0,0,0,0,1,154,813,0,152,14,0,0,0,0,0,823,13,0,0,0,0,0,0,0,0,0,0,0,2,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5405,433,False,real_CICMalDroid_2020,5
benign_apk_scams_000005,benign_apk_scams,1,0,0,9,1,47,43,1,84,3,18,0,0,9,10,0,120,0,9,4,0,0,0,7,0,10,0,0,8,0,1,0,0,1,10,5483,48,54,3,0,101,0,0,0,1,0,0,5,0,0,0,0,2,540,0,0,0,0,0,1,0,0,0,2,0,14,0,0,12219,47,269,0,6,0,0,0,0,0,31,0,0,0,0,0,9,39,1778,0,1,10,1,0,3,22,0,486,60,7,0,0,4,1,253,0,4,32,0,2031,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,12,0,0,0,629,0,82,0,0,0,4,8,430,746,617,0,0,0,0,1,0,4,0,0,0,0,0,0,461,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,216,31,450,10,0,0,525,0,640,0,1,0,234,18,0,0,0,0,0,0,0,0,0,293,1,0,0,0,11,0,0,0,0,2,173,116,0,0,98,0,0,0,0,0,1140,1,0,132,9,0,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,54,1,1,1,0,12,0,0,0,0,9,58,459,0,7,12,0,0,0,0,0,177,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,5,850,58,False,real_CICMalDroid_2020,5
benign_apk_scams_000006,benign_apk_scams,0,0,0,24,1,59,57,1,167,31,28,0,1,5,94,3,159,0,38,10,0,0,0,8,8,7,33,0,27,0,1,0,0,1,16,0,60,289,43,0,213,0,0,0,1,0,0,3,0,0,0,0,15,305,0,0,0,0,0,1,0,0,0,0,0,45,0,0,22537,59,593,0,28,0,0,0,0,1,16,0,0,0,0,0,10,14,1819,0,1,16,1,0,3,51,0,622,70,6,0,0,4,1,746,0,23,0,7,5517,0,0,0,0,28,0,5,0,0,0,0,1,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,98,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,1882,0,143,0,0,0,30,135,169,741,1876,0,0,0,0,1,0,0,0,0,0,0,0,0,6147,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,138,61,593,29,0,0,659,0,2312,0,1,0,380,134,0,0,0,0,0,0,2,0,0,552,1,0,0,0,26,0,0,0,0,15,206,297,0,0,181,0,2,0,0,0,2552,0,0,6593,0,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,106,1,1,1,0,87,0,0,0,0,9,76,431,0,68,0,0,0,0,0,0,279,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2532,192,False,real_CICMalDroid_2020,5
benign_apk_scams_000007,benign_apk_scams,0,0,0,16,0,70,62,0,205,18,49,0,1,4,39,0,77,0,7,8,0,0,0,8,4,8,18,0,30,0,1,0,0,0,43,0,70,163,63,0,397,0,0,0,1,0,0,5,2,0,0,0,16,267,0,1,0,0,0,1,0,0,0,1,0,41,0,0,6948,70,532,0,31,0,0,0,0,0,27,0,0,0,0,0,3,9,293,0,0,43,0,0,3,151,0,1383,155,11,0,0,2,0,960,0,21,0,6,2784,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,361,0,157,0,0,0,32,115,123,1567,352,0,0,0,0,1,0,5,0,0,0,0,0,0,3935,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,13,45,469,20,0,0,500,0,1171,0,0,0,372,67,0,0,0,0,0,0,0,0,0,444,1,0,6,0,20,0,0,0,0,17,190,429,1,0,400,0,0,0,0,1,650,0,0,82,0,0,1,0,0,0,0,0,19,0,0,0,9,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,89,1,1,1,0,128,0,0,0,0,3,113,359,0,57,0,0,0,0,0,0,447,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1624,256,False,real_CICMalDroid_2020,5
benign_apk_scams_000008,benign_apk_scams,0,0,0,12,0,43,163,0,164,8,46,0,0,0,18,0,48,0,33,5,0,0,0,4,0,2,15,0,8,0,2,0,0,0,10,0,43,49,14,0,414,0,0,0,1,0,0,9,0,0,0,0,5,486,0,0,0,0,0,1,0,0,0,11,0,27,0,0,5459,43,526,0,10,0,0,0,0,0,34,0,0,0,0,0,4,14,605,0,0,10,0,0,7,141,0,1462,180,14,0,0,2,0,787,0,14,0,0,1049,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,605,0,167,0,0,0,10,41,104,1958,621,0,0,0,0,1,0,0,0,0,0,0,0,0,2147,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,23,296,18,0,0,532,0,877,0,0,0,398,45,0,0,0,0,0,0,4,0,0,472,1,0,0,0,9,0,0,0,0,6,135,459,0,0,495,0,0,0,0,13,505,0,0,1109,0,0,1,0,1,0,0,0,23,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,72,1,1,1,0,19,0,0,0,0,1,53,623,0,27,0,0,0,0,0,0,370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,686,80,False,real_CICMalDroid_2020,5
benign_apk_scams_000009,benign_apk_scams,0,0,0,13,1,33,32,1,87,26,11,0,1,4,43,0,113,0,9,5,0,0,0,1,1,3,12,0,10,0,1,0,0,1,12,0,34,379,22,0,163,0,0,0,1,0,0,3,0,0,0,0,5,199,0,6,0,0,0,1,0,0,0,0,0,21,0,0,2018,33,292,0,11,0,0,0,0,0,23,0,0,0,0,0,1,10,185,0,1,12,1,0,1,0,0,95,0,6,0,0,7,1,281,0,25,5,6,1414,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0,0,0,0,0,0,179,0,116,0,0,0,10,49,73,161,223,0,0,0,0,1,0,1,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,124,58,399,15,0,0,429,0,1639,3,5,0,190,53,0,0,0,0,0,0,4,0,0,300,1,0,0,0,7,0,0,0,0,6,154,80,0,0,0,0,2,0,0,0,647,0,0,196,0,0,1,0,0,2,0,0,5,0,0,0,3,0,0,0,0,0,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,40,1,1,1,0,40,0,0,0,0,9,46,254,0,26,0,0,0,0,0,0,129,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,1,0,3,460,196,False,real_CICMalDroid_2020,5
benign_apk_scams_000010,benign_apk_scams,2,0,0,11,1,51,29,1,33,11,9,0,0,6,18,0,70,0,9,5,0,0,0,5,0,8,0,0,1,0,1,0,0,1,26,0,52,54,0,0,94,0,0,0,1,0,0,1,0,0,0,0,1,99,0,0,0,0,0,1,0,0,0,3,0,16,0,0,940,51,127,0,1,0,0,0,0,0,4,0,0,0,0,0,9,15,54,0,1,26,1,0,1,0,0,204,20,0,0,0,4,1,105,0,14,0,0,1120,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,0,0,0,57,0,60,0,0,0,0,3,207,132,69,0,0,0,0,1,0,3,0,0,0,0,0,0,312,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,187,41,312,15,0,0,360,0,711,0,1,0,169,70,0,0,0,0,0,0,0,0,0,174,1,0,0,0,10,0,0,0,0,1,147,54,0,0,0,0,2,0,0,4,737,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,65,1,1,1,0,0,0,0,0,0,9,78,119,0,2,8,0,0,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,182,125,False,real_CICMalDroid_2020,5
